tenure,age,address,income,ed,employ,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,cardten,voice,pager,internet,callwait,confer,ebill,loglong,logtoll,lninc,custcat,churn
5.0,47.0,7.0,46.0,1.0,6.0,0.0,1.0,0.0,2.95,0.0,0.0,7.25,0.0,21.55,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082,3.24,3.829,1.0,1
42.0,36.0,14.0,44.0,2.0,11.0,0.0,0.0,1.0,7.0,26.5,0.0,0.0,26.1,321.95,1161.3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.946,3.277,3.784,3.0,0
70.0,36.0,8.0,50.0,1.0,15.0,0.0,1.0,0.0,20.55,0.0,0.0,20.75,0.0,1407.15,0.0,1370.0,0.0,0.0,0.0,0.0,0.0,0.0,3.023,3.24,3.912,2.0,0
18.0,69.0,28.0,11.0,1.0,17.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,62.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.348,3.24,2.398,1.0,0
72.0,55.0,24.0,82.0,3.0,25.0,1.0,1.0,0.0,62.3,0.0,35.65,65.25,0.0,4333.0,0.0,4915.0,0.0,0.0,0.0,1.0,0.0,1.0,4.132,3.24,4.407,2.0,0
28.0,29.0,4.0,23.0,3.0,5.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,91.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.308,3.24,3.135,2.0,0
35.0,50.0,26.0,140.0,2.0,21.0,0.0,1.0,0.0,6.5,27.5,0.0,35.0,0.0,247.55,1068.25,1215.0,0.0,0.0,0.0,1.0,1.0,0.0,1.872,3.314,4.942,3.0,0
66.0,50.0,2.0,333.0,5.0,24.0,0.0,1.0,0.0,10.3,0.0,0.0,14.25,0.0,659.55,0.0,975.0,0.0,1.0,1.0,0.0,0.0,0.0,2.332,3.24,5.808,2.0,0
24.0,35.0,10.0,41.0,5.0,6.0,1.0,0.0,0.0,3.3,0.0,30.3,0.0,0.0,88.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.194,3.24,3.714,2.0,0
66.0,62.0,31.0,47.0,2.0,4.0,0.0,1.0,0.0,34.25,21.0,0.0,20.0,0.0,2298.25,1425.35,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,3.534,3.045,3.85,2.0,0
6.0,24.0,2.0,28.0,1.0,5.0,0.0,1.0,0.0,4.4,9.0,0.0,28.25,0.0,35.1,57.8,155.0,0.0,0.0,0.0,1.0,1.0,0.0,1.482,2.197,3.332,3.0,1
61.0,50.0,16.0,190.0,2.0,22.0,1.0,1.0,1.0,16.85,0.0,42.55,26.5,44.1,1063.15,0.0,1600.0,0.0,0.0,1.0,0.0,0.0,1.0,2.824,3.24,5.247,2.0,0
38.0,35.0,5.0,76.0,2.0,10.0,1.0,1.0,1.0,6.05,45.0,50.1,23.25,64.9,239.55,1873.05,880.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.807,4.331,4.0,0
46.0,45.0,12.0,96.0,3.0,17.0,1.0,1.0,0.0,10.95,0.0,24.5,9.75,0.0,504.3,0.0,410.0,0.0,0.0,1.0,0.0,0.0,1.0,2.393,3.24,4.564,2.0,0
25.0,62.0,27.0,28.0,4.0,33.0,1.0,1.0,1.0,8.3,14.75,52.0,18.0,47.0,160.4,359.25,430.0,1.0,1.0,0.0,1.0,1.0,1.0,2.116,2.691,3.332,4.0,1
52.0,39.0,6.0,119.0,3.0,18.0,0.0,1.0,0.0,10.5,25.0,0.0,8.25,0.0,556.5,1280.9,450.0,0.0,1.0,0.0,0.0,0.0,1.0,2.351,3.219,4.779,1.0,0
34.0,40.0,21.0,23.0,4.0,9.0,1.0,1.0,1.0,5.95,25.75,45.4,16.75,37.7,207.7,805.85,540.0,0.0,1.0,1.0,1.0,1.0,1.0,1.783,3.248,3.135,4.0,0
25.0,29.0,9.0,55.0,4.0,1.0,0.0,0.0,0.0,5.25,24.75,0.0,0.0,0.0,147.95,612.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.658,3.209,4.007,1.0,1
43.0,21.0,1.0,25.0,1.0,4.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,334.45,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.028,3.24,3.219,2.0,1
37.0,33.0,1.0,102.0,2.0,12.0,1.0,1.0,1.0,16.3,0.0,33.35,10.25,37.9,646.7,0.0,360.0,0.0,1.0,1.0,1.0,0.0,1.0,2.791,3.24,4.625,4.0,0
72.0,61.0,34.0,61.0,1.0,8.0,0.0,1.0,0.0,27.35,0.0,0.0,13.25,0.0,1980.15,0.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,3.309,3.24,4.111,2.0,0
21.0,43.0,13.0,41.0,2.0,1.0,1.0,1.0,1.0,6.15,23.75,45.4,12.25,37.25,118.15,497.15,195.0,1.0,1.0,1.0,1.0,1.0,1.0,1.816,3.168,3.714,4.0,1
