tenure,age,address,income,ed,employ,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,cardten,voice,pager,internet,callwait,confer,ebill,loglong,logtoll,lninc,custcat
47.0,40.0,16.0,127.0,4.0,12.0,1.0,1.0,0.0,19.7,0.0,28.15,14.75,0.0,909.9,0.0,680.0,0.0,0.0,1.0,0.0,0.0,1.0,2.981,3.24,4.844,2.0
23.0,50.0,1.0,151.0,4.0,8.0,0.0,0.0,0.0,8.25,21.75,0.0,0.0,0.0,186.5,438.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,3.08,5.017,1.0
4.0,35.0,16.0,161.0,5.0,6.0,1.0,0.0,1.0,3.4,23.75,49.8,0.0,35.75,10.35,103.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.224,3.168,5.081,4.0
5.0,44.0,5.0,83.0,1.0,16.0,1.0,0.0,0.0,4.65,0.0,25.25,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.537,3.24,4.419,2.0
22.0,34.0,1.0,46.0,3.0,1.0,1.0,0.0,0.0,7.1,0.0,23.4,0.0,0.0,125.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.96,3.24,3.829,2.0
36.0,45.0,22.0,117.0,3.0,15.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,429.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.351,3.24,4.762,2.0
20.0,31.0,10.0,39.0,2.0,3.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,148.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.048,3.24,3.664,1.0
11.0,26.0,2.0,53.0,3.0,3.0,1.0,1.0,1.0,4.15,21.5,43.7,11.75,38.8,34.7,188.35,110.0,1.0,1.0,1.0,1.0,0.0,1.0,1.423,3.068,3.97,4.0
3.0,37.0,13.0,24.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.693,3.24,3.178,1.0
32.0,44.0,10.0,201.0,2.0,24.0,0.0,1.0,0.0,7.65,28.0,0.0,18.5,0.0,237.85,895.05,595.0,0.0,1.0,0.0,1.0,1.0,0.0,2.035,3.332,5.303,3.0
31.0,46.0,23.0,144.0,4.0,13.0,0.0,1.0,0.0,7.6,15.25,0.0,9.75,0.0,271.55,501.15,290.0,0.0,0.0,1.0,1.0,0.0,1.0,2.028,2.725,4.97,3.0
36.0,58.0,34.0,80.0,1.0,21.0,0.0,1.0,0.0,8.5,0.0,0.0,8.5,0.0,298.25,0.0,260.0,0.0,0.0,0.0,1.0,0.0,0.0,2.14,3.24,4.382,2.0
20.0,25.0,4.0,33.0,4.0,0.0,0.0,1.0,1.0,4.55,16.0,0.0,19.25,27.05,115.65,288.75,365.0,0.0,0.0,1.0,0.0,0.0,1.0,1.515,2.773,3.497,1.0
69.0,51.0,11.0,438.0,4.0,23.0,1.0,1.0,0.0,29.0,0.0,47.05,24.75,0.0,1815.4,0.0,1655.0,0.0,1.0,1.0,0.0,1.0,0.0,3.367,3.24,6.082,4.0
19.0,26.0,2.0,48.0,3.0,0.0,0.0,1.0,0.0,7.55,0.0,0.0,6.5,0.0,156.15,0.0,105.0,1.0,0.0,0.0,1.0,0.0,0.0,2.022,3.24,3.871,3.0
